SITE_COL;YEAR;SITE;HAB;REEF;HEALTH_PC1;HEALTH_PC2;HEALTH %;BLEACHING %;DEAD %
FAR_6;2008;FAR;RR;ARC;-0,213980903;0,010280967;51,79391351;38,99092365;9,21516284
FAR_4;2006;FAR;RR;ARC;-0,170288795;-0,217023391;53,13346228;40,81237911;6,054158607
TIM1_4;2006;TIM1;PA;TIM;-0,16346238;-0,408796701;53,71527778;42,77777778;3,506944444
PAB2_5;2006;PAB2;TP;PAB;-0,147477278;-0,602176683;54,46812621;44,62974887;0,90212492
PA2_4;2008;PA2;PA;UCR;-0,136310361;-0,667442431;54,82758621;45,17241379;0
PLE_2;2006;PLE;PA;UCR;-0,134377279;-0,393963539;54,21089796;42,20313052;3,585971519
PNO_1;2007;PNO;RR;ARC;-0,123375501;-0,663520318;55,05437689;44,94562311;0
FAR_1;2006;FAR;RR;ARC;-0,116296142;-0,661373713;55,17850137;44,82149863;0
TIM2_9;2007;TIM2;TP;TIM;-0,112469706;-0,592367915;55,08384632;44,02462322;0,891530461
PA2_8;2006;PA2;TP;UCR;-0,101012076;-0,656739273;55,44648137;44,55351863;0
TIM3_3;2006;TIM3;PA;TIM;-0,034722192;-0,636638832;56,60876133;43,39123867;0
TIM2_5;2006;TIM2;PA;TIM;-0,027122883;0,776976123;53,37741047;28,07713499;18,54545455
FAR_6;2007;FAR;RR;ARC;-0,012275785;0,108488063;55,24215008;35,05588079;9,701969133
ITA4_3;2008;ITA4;PA;ITA;0,001133606;-0,625766625;57,23743156;42,76256844;0
TIM3_1;2007;TIM3;PA;TIM;0,001466187;0,428447558;54,73023635;31,41809291;13,85167074
PLE_5;2006;PLE;PA;UCR;0,011027673;-0,622766542;57,41090713;42,58909287;0
PAB2_4;2008;PAB2;TP;PAB;0,025985229;-0,425750853;57,21428571;40,25641026;2,529304029
ITA6_1;2007;ITA6;PA;ITA;0,044355866;-0,043315899;56,63793103;35,88054187;7,481527094
PNO_1;2008;PNO;RR;ARC;0,050934105;0,781468505;54,79172266;26,91480785;18,2934695
ITA6_2;2008;ITA6;PA;ITA;0,064388616;3,265790962;49,11467814;0;50,88532186
ARE_3;2008;ARE;PA;UCR;0,096058967;-0,596983325;58,90178571;41,09821429;0
PLE_5;2008;PLE;PA;UCR;0,103541748;-0,594714393;59,03298351;40,96701649;0
PAB1_2;2006;PAB1;TP;PAB;0,105441269;-0,59413842;59,06628837;40,93371163;0
TIM3_2;2008;TIM3;PA;TIM;0,106885145;2,963624596;50,61087268;2,643776824;46,7453505
ITA5_1;2006;ITA5;PA;ITA;0,11201757;0,069883367;57,60330579;33,69725968;8,699434537
PLE_7;2008;PLE;TP;UCR;0,113364093;1,147694484;55,05836576;22,08449138;22,85714286
ITA6_1;2008;ITA6;PA;ITA;0,133984459;1,117506414;55,50678372;22,11492418;22,3782921
TIM3_1;2008;TIM3;PA;TIM;0,139764013;-0,583731066;59,6680791;40,3319209;0
SGO_1;2007;SGO;PA;UCR;0,146485718;-0,581692908;59,78593272;40,21406728;0
TIM2_4;2007;TIM2;PA;TIM;0,158174845;1,421900103;55,22272727;18,49545455;26,28181818
PAB3_1;2006;PAB3;TP;PAB;0,167020142;0,50432275;57,57173059;28,23920266;14,18906675
FAR_4;2008;FAR;RR;ARC;0,172793321;-0,022031096;58,93196445;33,81857187;7,249463684
ITA4_1;2007;ITA4;PA;ITA;0,175793722;1,534455124;55,27604726;17,03329753;27,69065521
PAB2_4;2007;PAB2;TP;PAB;0,203849341;-0,564299091;60,79170594;39,20829406;0
TIM2_2;2008;TIM2;PA;TIM;0,208875497;-0,562775058;60,87983099;39,12016901;0
PLE_2;2007;PLE;PA;UCR;0,20961077;-0,562552109;60,89272275;39,10727725;0
PAB1_3;2008;PAB1;TP;PAB;0,210850168;1,66622289;55,60190703;15,11561383;29,28247914
TIM3_4;2008;TIM3;TP;TIM;0,231385747;-0,555949493;61,2745098;38,7254902;0
PLE_5;2007;PLE;PA;UCR;0,231688979;-0,555857546;61,27982646;38,72017354;0
TIM2_2;2007;TIM2;PA;TIM;0,257783687;-0,108337806;60,68932039;33,53398058;5,776699029
PA2_2;2006;PA2;PA;UCR;0,272628333;-0,543443902;61,99762815;38,00237185;0
ITA4_1;2006;ITA4;PA;ITA;0,279802344;0,918016102;58,64444945;22,17968926;19,17586129
PA2_1;2006;PA2;PA;UCR;0,284177155;-0,539942064;62,20011703;37,79988297;0
PA2_2;2008;PA2;PA;UCR;0,297789457;-0,535814537;62,4387855;37,5612145;0
TIM2_4;2006;TIM2;PA;TIM;0,306448643;-0,533188896;62,59060956;37,40939044;0
TIM2_6;2008;TIM2;PA;TIM;0,307848266;-0,104692985;61,59461883;32,78026906;5,625112108
ARE_3;2007;ARE;PA;UCR;0,310699681;-0,411950316;62,37918216;36,04460967;1,576208178
TIM3_1;2006;TIM3;PA;TIM;0,411757024;-0,501257253;64,43701226;35,56298774;0
PAB3_1;2007;PAB3;TP;PAB;0,412238368;-0,5011113;64,4454518;35,5545482;0
ITA7_1;2008;ITA7;PA;ITA;0,432824316;2,776955116;57,00629921;0;42,99370079
TIM2_1;2006;TIM2;PA;TIM;0,432981545;-0,494821546;64,80914801;35,19085199;0
TIM2_5;2007;TIM2;PA;TIM;0,446144741;0,560075755;62,53456221;23,65591398;13,80952381
TIM1_5;2006;TIM1;PA;TIM;0,449858906;-0,489703987;65,10506373;34,89493627;0
FAR_1;2007;FAR;RR;ARC;0,450157116;-0,228112052;64,4868677;32,07684825;3,436284047
PA2_3;2006;PA2;PA;UCR;0,477057677;-0,481456767;65,58194774;34,41805226;0
TIM2_2;2006;TIM2;PA;TIM;0,482235229;-0,479886828;65,67272727;34,32727273;0
ITA3_1;2008;ITA3;PA;ITA;0,486634362;2,132559955;59,52491534;6,163522013;34,31156265
PAB1_2;2007;PAB1;TP;PAB;0,500004976;-0,474498679;65,98428945;34,01571055;0
TIM2_5;2008;TIM2;PA;TIM;0,508026831;-0,472066289;66,12493899;33,87506101;0
ITA1_1;2007;ITA1;PA;ITA;0,514950534;-0,469966882;66,24633431;33,75366569;0
TIM1_5;2008;TIM1;PA;TIM;0,522813427;1,220087865;62,3607577;15,46225615;22,17698615
PA2_6;2007;PA2;PA;UCR;0,530788214;-0,465164575;66,52402099;33,47597901;0
TIM2_1;2007;TIM2;PA;TIM;0,534596922;-0,464009697;66,59080019;33,40919981;0
FAR_1;2008;FAR;RR;ARC;0,545528279;-0,460695088;66,78246287;33,21753713;0
PAB2_6;2006;PAB2;TP;PAB;0,548882771;-0,459677937;66,84127816;33,15872184;0
TIM2_6;2007;TIM2;PA;TIM;0,556109253;0,054429714;65,74756358;27,52555265;6,726883765
SGO_3;2006;SGO;PA;UCR;0,590945797;-0,446923572;67,57878151;32,42121849;0
PLE_3;2007;PLE;PA;UCR;0,596497055;-0,445240318;67,67611336;32,32388664;0
PAB1_7;2006;PAB1;PA;PAB;0,610746081;-0,324296895;67,64791465;30,81959263;1,532492726
