REEF_NAME;SITE_NAME;HAB;LATITUDE;LONGITUDE;DEPTH_M;ARCH;UNIQUE_LABEL;SST_PERIOD_PRIMARY;SST_FAP_PRIMARY;DLI_PERIOD_PRIMARY;DLI_FAP_PRIMARY;CHL_PERIOD_PRIMARY;CHL_FAP_PRIMARY;SST_PERIOD_SECONDARY;SST_FAP_SECONDARY;DLI_PERIOD_SECONDARY;DLI_FAP_SECONDARY;CHL_PERIOD_SECONDARY;CHL_FAP_SECONDARY
PAB;PAB4;PA;-17,959;-38,655;15,2;outer;PAB4 (15.2m);365,0182196772514;0,0;368,8594783962631;9,88413332322227e-178;368,8594783962631;5,603193433080418e-21;33,21403759920844;1,3449700236725136e-36;130,4435607219333;0,005434823099455747;40,24728645587541;1,4314415824753154e-05
PAB;PAB5;TP;-17,944;-38,659;5,6;outer;PAB5 (5.6m);365,0182196772514;0,0;368,8594783962631;7,176873587823034e-257;368,8594783962631;1,5789943403614108e-23;33,21403759920844;1,1232032241342367e-35;33,10457262634888;1,788495556762403e-08;40,24728645587541;4,710240980892472e-05
PAB;PAB5;PA;-17,944;-38,659;15,0;outer;PAB5 (15.0m);365,0182196772514;0,0;368,8594783962631;3,940157739364784e-186;368,8594783962631;1,5789943403614108e-23;33,21403759920844;1,1232032241342367e-35;33,15089792427894;0,014160595572477805;40,24728645587541;4,710240980892472e-05
UCR;ARE;TP;-17,666;-38,997;5,2;inner;ARE (5.2m);365,0182196772514;0,0;363,1619339984651;3,755326113558419e-189;363,1619339984651;9,905747131091125e-51;33,21403759920844;4,450463356373494e-38;33,35003915426782;0,014270882280336163;14,764942449036196;0,0026914883123163565
UCR;ARE;PA;-17,666;-38,997;8,8;inner;ARE (8.8m);365,0182196772514;0,0;363,1619339984651;2,2442421526294706e-149;363,1619339984651;9,905747131091125e-51;33,21403759920844;4,450463356373494e-38;14,764942449036196;0,01254961962875445;14,764942449036196;0,0026914883123163565
UCR;PA2;TP;-17,88;-38,938;4,4;inner;PA2 (4.4m);365,0182196772514;0,0;362,96296296296293;1,768688052859605e-157;362,96296296296293;6,78437932182454e-15;33,21403759920844;6,285013512598886e-39;33,18908748824083;0,0005707529369393887;;
UCR;PA2;PA;-17,88;-38,938;10,8;inner;PA2 (10.8m);365,0182196772514;0,0;362,96296296296293;7,703268442485967e-104;362,96296296296293;6,78437932182454e-15;33,21403759920844;6,285013512598886e-39;;;;
UCR;PLE;TP;-17,783;-39,051;2,3;inner;PLE (2.3m);365,0182196772514;0,0;363,1619339984651;1,1751515959771408e-254;363,1619339984651;1,1045681812469058e-39;33,21403759920844;9,865417805542317e-44;33,209606986899566;0,005389972038753453;;
UCR;PLE;PA;-17,783;-39,051;6,1;inner;PLE (6.1m);365,0182196772514;0,0;363,1619339984651;5,889087490611336e-128;363,1619339984651;1,1045681812469058e-39;33,21403759920844;9,865417805542317e-44;;;;
UCR;SGO;TP;-17,913;-39,145;3,2;inner;SGO (3.2m);365,0182196772514;0,0;363,03427031189835;1,0956526835986407e-154;363,03427031189835;1,5677718599936732e-13;33,21403759920844;5,576374081326151e-46;15,872647686033897;0,009921346608282887;;
UCR;SGO;PA;-17,913;-39,145;8,2;inner;SGO (8.2m);365,0182196772514;0,0;363,03427031189835;7,849462994659152e-77;363,03427031189835;1,5677718599936732e-13;33,21403759920844;5,576374081326151e-46;;;;
TIM ;TIM1;TP;-17,482;-39,013;4,7;inner;TIM1 (4.7m);365,0182196772514;0,0;368,75;8,391028158646146e-233;368,75;1,4899354393343728e-33;33,21403759920844;1,8135195940826103e-37;28,091522285411983;4,1255928100569315e-05;;
TIM ;TIM1;PA;-17,482;-39,013;9,5;inner;TIM1 (9.5m);365,0182196772514;0,0;368,75;2,469405728771015e-164;368,75;1,4899354393343728e-33;33,21403759920844;1,8135195940826103e-37;28,091522285411983;0,04531302862437614;;
TIM ;TIM2;TP;-17,477;-39,027;6,0;inner;TIM2 (6.0m);365,0182196772514;0,0;368,75;1,807485062810561e-206;368,75;1,4899354393343728e-33;33,21403759920844;1,8135195940826103e-37;28,091522285411983;0,0009263015462412771;;
TIM ;TIM2;PA;-17,477;-39,027;11,9;inner;TIM2 (11.9m);365,0182196772514;0,0;368,75;1,1659369278276867e-147;368,75;1,4899354393343728e-33;33,21403759920844;1,8135195940826103e-37;;;;
TIM ;TIM3;TP;-17,46;-39,031;5,6;inner;TIM3 (5.6m);365,0182196772514;0,0;368,75;1,1123936270514614e-213;368,75;1,4899354393343728e-33;33,21403759920844;1,8135195940826103e-37;28,091522285411983;0,00042087972003281205;;
TIM ;TIM3;PA;-17,46;-39,031;10,5;inner;TIM3 (10.5m);365,0182196772514;0,0;368,75;1,301037715942834e-156;368,75;1,4899354393343728e-33;33,21403759920844;1,8135195940826103e-37;;;;
